principalInvestigator,country,yearCollected,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,collectorList,locality,materialSampleID,genus,specificEpithet,sampleType,diseaseTested,diseaseDetected,fatal,monthCollected,dayCollected,minimumElevationInMeters,maximumElevationInMeters,quantityDetected,dilutionFactor,cycleTimeFirstDetection,continentOcean,stateProvince,municipality,county,locationRemarks,horizontalDatum,georeferenceProtocol,minimumDepthInMeters,maximumDepthInMeters,habitat,eventRemarks,taxTeam,occurrenceID,institutionCode,collectionCode,catalogNumber,otherCatalogNumbers,fieldNumber,infraspecificEpithet,lifeStage,establishmentMeans,sex,basisOfRecord,diseaseLineage,genotypeMethod,specimenDisposition,testMethod,diagnosticLab,zeScore,Diagnostics_bcid,Sample_bcid,expeditionCode,projectId,
Laura Brannelly,Australia,2013,-35.96,148.399,30,Laura Brannelly,Unknown,1,crinia,signifera,swabbing,Bd,TRUE,false,9,30,1335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cug20fe28c27645c6d60f0ed5353a37284d2,https://n2t.net/ark:/21547/Cuf21,bdswabs,174,
Laura Brannelly,Australia,2013,-35.96,148.399,30,Laura Brannelly,Unknown,10,crinia,signifera,swabbing,Bd,TRUE,false,10,16,1335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cug204b99f5381e42c196930f5f63bbe4427,https://n2t.net/ark:/21547/Cuf210,bdswabs,174,
Laura Brannelly,Australia,2013,-36.372,148.452,30,Laura Brannelly,Unknown,100,Crinia,signifera,swabbing,Bd,TRUE,false,10,9,1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cug2f7cdab20a5a3f8681f8984851782935e,https://n2t.net/ark:/21547/Cuf2100,bdswabs,174,
Laura Brannelly,Australia,2013,-36.372,148.452,30,Laura Brannelly,Unknown,101,Crinia,signifera,swabbing,Bd,TRUE,false,10,9,1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cug278346a3a9d5654e4b3b36563ecf29236,https://n2t.net/ark:/21547/Cuf2101,bdswabs,174,
Laura Brannelly,Australia,2013,-36.372,148.452,30,Laura Brannelly,Unknown,102,Crinia,signifera,swabbing,Bd,TRUE,false,10,9,1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cug25a309ed1631974db805c39b668e8eb31,https://n2t.net/ark:/21547/Cuf2102,bdswabs,174,
Laura Brannelly,Australia,2013,-36.372,148.452,30,Laura Brannelly,Unknown,103,Crinia,signifera,swabbing,Bd,TRUE,false,10,20,1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cug2463c67950aa3e65b3a54d3ddc5c78201,https://n2t.net/ark:/21547/Cuf2103,bdswabs,174,
Laura Brannelly,Australia,2013,-36.372,148.452,30,Laura Brannelly,Unknown,104,Crinia,signifera,swabbing,Bd,TRUE,false,10,20,1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cug29fea2d7e9a5d1f2a6993fb44b9e9d8d1,https://n2t.net/ark:/21547/Cuf2104,bdswabs,174,
Laura Brannelly,Australia,2013,-36.372,148.452,30,Laura Brannelly,Unknown,105,Crinia,signifera,swabbing,Bd,TRUE,false,10,20,1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cug224348e8b3618bc653e64600e716a5562,https://n2t.net/ark:/21547/Cuf2105,bdswabs,174,
Laura Brannelly,Australia,2013,-36.372,148.452,30,Laura Brannelly,Unknown,106,Crinia,signifera,swabbing,Bd,TRUE,false,10,20,1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cug2a660a0dff63de60f1a231e31777fbdc9,https://n2t.net/ark:/21547/Cuf2106,bdswabs,174,
Laura Brannelly,Australia,2013,-36.372,148.452,30,Laura Brannelly,Unknown,107,Crinia,signifera,swabbing,Bd,TRUE,false,10,20,1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cug2344e7b079995aa7c4706c8a4acbb1c6c,https://n2t.net/ark:/21547/Cuf2107,bdswabs,174,
Laura Brannelly,Australia,2013,-36.372,148.452,30,Laura Brannelly,Unknown,108,Crinia,signifera,swabbing,Bd,TRUE,false,10,20,1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cug20a8ac2fe0224577cb7d183e276a3cd43,https://n2t.net/ark:/21547/Cuf2108,bdswabs,174,
Laura Brannelly,Australia,2013,-36.372,148.452,30,Laura Brannelly,Unknown,109,Crinia,signifera,swabbing,Bd,TRUE,false,10,20,1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cug2458c1c60cc63ea4236374a6d75eb98f0,https://n2t.net/ark:/21547/Cuf2109,bdswabs,174,
Laura Brannelly,Australia,2013,-35.96,148.399,30,Laura Brannelly,Unknown,11,crinia,signifera,swabbing,Bd,TRUE,false,10,16,1335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cug2863c72e2995918e31978f2942df78de9,https://n2t.net/ark:/21547/Cuf211,bdswabs,174,
Laura Brannelly,Australia,2013,-36.372,148.452,30,Laura Brannelly,Unknown,110,Crinia,signifera,swabbing,Bd,TRUE,false,10,20,1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Cug23d3bcc139ca4c4b4d41a404ac33975cc,https://n2t.net/ark:/21547/Cuf2110,bdswabs,174,
